type,date,label,id,name,role,short_topic,long_topic,short_title,long_title,plan_type,lat,lon,zone,zone_detail,start,end
meeting,Meeting 1,Meeting 1,Meeting_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 2,Meeting 2,Meeting_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 3,Meeting 3,Meeting_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 4,Meeting 4,Meeting_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 5,Meeting 5,Meeting_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 6,Meeting 6,Meeting_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 7,Meeting 7,Meeting_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 8,Meeting 8,Meeting_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 9,Meeting 9,Meeting_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 10,Meeting 10,Meeting_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 11,Meeting 11,Meeting_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,Meeting 12,Meeting 12,Meeting_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.person,NA,NA,Seal,Seal,Committee Chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.person,NA,NA,Simone Kat,Simone Kat,Member,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.person,NA,NA,Carol Limpet,Carol Limpet,Member,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Paackland Container Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,High Seas Fishing Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Tours Central Ticketing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Saltwater Serenades,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Daughters of Port Grove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Industrial Shipping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Builders Association,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,PTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,expanding_tourist_wharf,expanding_tourist_wharf,NA,NA,expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA,NA
