Id,Label,Type,Industry
Carol Limpet,Carol Limpet,Member,
Ed Helpsford,Ed Helpsford,Member,
Seal,Seal,Member,
Simone Kat,Simone Kat,Member,
Tante Titan,Tante Titan,Member,
Teddy Goldstein,Teddy Goldstein,Member,
marine_life_deck,Marine Life Deck,Topic,tourism
renaming_park_himark,Renaming Park Himark,Topic,neutral
seafood_festival,Seafood Festival,Topic,fishing
waterfront_market,Waterfront Market,Topic,tourism
affordable_housing,Affordable Housing,Topic,neutral
concert,Concert,Topic,tourism
low_volume_crane,Low Volume Crane,Topic,fishing
name_harbor_area,Name Harbor Area,Topic,neutral
name_inspection_office,Name Inspection Office,Topic,neutral
expanding_tourist_wharf,Expanding Tourist Wharf,Topic,tourism
fish_vacuum,Fish Vacuum,Topic,fishing
statue_john_smoth,Statue John Smoth,Topic,neutral
deep_fishing_dock,Deep Fishing Dock,Topic,fishing
heritage_walking_tour,Heritage Walking Tour,Topic,tourism
new_crane_lomark,New Crane Lomark,Topic,fishing
