Id,Label,Type,Industry
Ed Helpsford,Ed Helpsford,Member,
Seal,Seal,Member,
Teddy Goldstein,Teddy Goldstein,Member,
affordable_housing,Affordable Housing,Topic,neutral
concert,Concert,Topic,tourism
low_volume_crane,Low Volume Crane,Topic,fishing
name_harbor_area,Name Harbor Area,Topic,neutral
name_inspection_office,Name Inspection Office,Topic,neutral
waterfront_market,Waterfront Market,Topic,tourism
expanding_tourist_wharf,Expanding Tourist Wharf,Topic,tourism
fish_vacuum,Fish Vacuum,Topic,fishing
statue_john_smoth,Statue John Smoth,Topic,neutral
deep_fishing_dock,Deep Fishing Dock,Topic,fishing
marine_life_deck,Marine Life Deck,Topic,tourism
new_crane_lomark,New Crane Lomark,Topic,fishing
