role,source,target,key,sentiment,reason,industry,status,time,Dataset,Topic_Key,Industry,Is_Member_Target,Sentiment_Label,Meeting_Num,Dataset_Label
part_of,Meeting_1,fish_vacuum_Meeting_1_Introduction_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_1,fish_vacuum_Meeting_1_Introduction,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_1,seafood_festival_Meeting_1_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_1,seafood_festival_Meeting_1_Feasibility,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,deep_fishing_dock_Meeting_2_Importance_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,fish_vacuum_Travel_Bay_Harvest_Corporation,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,seafood_festival_Meeting_2_Feedback_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_2,seafood_festival_Meeting_2_Feedback,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,deep_fishing_dock_Meeting_3_Maintenance_Plan,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,seafood_festival_Meeting_3_Take_Action_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_3,seafood_festival_Meeting_3_Take_Action,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,new_crane_lomark_Travel_Blue_Wave_Shipping,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,low_volume_crane_Travel_Harbor_Route_Solutions,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,renaming_park_himark_Travel_Himark_City_Hall_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,renaming_park_himark_Meeting_5_Nominations_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,renaming_park_himark_Travel_Himark_City_Hall,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_5,renaming_park_himark_Meeting_5_Nominations,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_6,affordable_housing_Meeting_6_Sites_Proposal_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_6,affordable_housing_Meeting_6_Sites_Proposal,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,affordable_housing_Travel_Waveside_Townhomes_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,affordable_housing_Meeting_7_Debate_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,affordable_housing_Travel_Waveside_Townhomes,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,affordable_housing_Meeting_7_Debate,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,heritage_walking_tour_Meeting_7_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,heritage_walking_tour_Meeting_7_Outline,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,waterfront_market_Meeting_7_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,waterfront_market_Travel_Harbor_Edge_Grill_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_7,waterfront_market_Travel_Harbor_Edge_Grill,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,statue_john_smoth_Meeting_8_Proposal_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,statue_john_smoth_Meeting_8_Proposal,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
part_of,Meeting_8,low_volume_crane_Travel_Harbor_Builders_Discussion,0,,,,,,filah,unknown,unknown,False,Not Rated,,FILAH (Fishing Lobby)
