Member,Dataset,Dataset_Label,Topic_Key,Industry,Count,Avg_Sentiment,Num_Pro,Num_Against,Num_Neutral_Sent,Num_Not_Rated,Topic_Label
Carol Limpet,filah,FILAH (Fishing Lobby),marine_life_deck,tourism,7,0.5,7,0,0,0,Marine Life Deck
Carol Limpet,filah,FILAH (Fishing Lobby),renaming_park_himark,neutral,5,0.5,5,0,0,0,Renaming Park Himark
Carol Limpet,filah,FILAH (Fishing Lobby),seafood_festival,fishing,5,0.75,5,0,0,0,Seafood Festival
Carol Limpet,filah,FILAH (Fishing Lobby),waterfront_market,tourism,4,1.0,4,0,0,0,Waterfront Market
Carol Limpet,journalist,Journalist (Full Record),marine_life_deck,tourism,7,0.5,7,0,0,0,Marine Life Deck
Carol Limpet,journalist,Journalist (Full Record),renaming_park_himark,neutral,5,0.5,5,0,0,0,Renaming Park Himark
Carol Limpet,journalist,Journalist (Full Record),seafood_festival,fishing,5,0.75,5,0,0,0,Seafood Festival
Carol Limpet,journalist,Journalist (Full Record),waterfront_market,tourism,4,1.0,4,0,0,0,Waterfront Market
Ed Helpsford,journalist,Journalist (Full Record),affordable_housing,neutral,7,1.0,7,0,0,0,Affordable Housing
Ed Helpsford,journalist,Journalist (Full Record),concert,tourism,4,0.5,4,0,0,0,Concert
Ed Helpsford,journalist,Journalist (Full Record),low_volume_crane,fishing,2,1.0,2,0,0,0,Low Volume Crane
Ed Helpsford,journalist,Journalist (Full Record),name_harbor_area,neutral,2,0.0,0,0,2,0,Name Harbor Area
Ed Helpsford,journalist,Journalist (Full Record),name_inspection_office,neutral,2,0.0,0,0,2,0,Name Inspection Office
Ed Helpsford,journalist,Journalist (Full Record),waterfront_market,tourism,3,1.0,3,0,0,0,Waterfront Market
Ed Helpsford,trout,TROUT (Tourism Lobby),affordable_housing,neutral,7,1.0,7,0,0,0,Affordable Housing
Ed Helpsford,trout,TROUT (Tourism Lobby),concert,tourism,4,0.5,4,0,0,0,Concert
Ed Helpsford,trout,TROUT (Tourism Lobby),low_volume_crane,fishing,2,1.0,2,0,0,0,Low Volume Crane
Ed Helpsford,trout,TROUT (Tourism Lobby),name_harbor_area,neutral,2,0.0,0,0,2,0,Name Harbor Area
Ed Helpsford,trout,TROUT (Tourism Lobby),name_inspection_office,neutral,2,0.0,0,0,2,0,Name Inspection Office
Ed Helpsford,trout,TROUT (Tourism Lobby),waterfront_market,tourism,3,1.0,3,0,0,0,Waterfront Market
Seal,filah,FILAH (Fishing Lobby),expanding_tourist_wharf,tourism,4,0.1,0,0,4,0,Expanding Tourist Wharf
