type,date,label,id,name,role,short_topic,long_topic,short_title,long_title,plan_type,lat,lon,zone,zone_detail,start,end,Dataset,date_parsed,Year,Month,MonthName,start_time,end_time,duration_hrs,Topic_Key,Industry,Meeting_Num,Dataset_Label
meeting,Meeting 1,Meeting 1,Meeting_1,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 2,Meeting 2,Meeting_2,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 3,Meeting 3,Meeting_3,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 4,Meeting 4,Meeting_4,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 5,Meeting 5,Meeting_5,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 6,Meeting 6,Meeting_6,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 7,Meeting 7,Meeting_7,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 8,Meeting 8,Meeting_8,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 9,Meeting 9,Meeting_9,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 10,Meeting 10,Meeting_10,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 11,Meeting 11,Meeting_11,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
meeting,Meeting 12,Meeting 12,Meeting_12,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.person,,nan,Seal,Seal,Committee Chair,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.person,,nan,Simone Kat,Simone Kat,Member,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.person,,nan,Carol Limpet,Carol Limpet,Member,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,Paackland Container Inc.,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,High Seas Fishing Inc.,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,Tours Central Ticketing,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,Saltwater Serenades,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,Daughters of Port Grove,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,Industrial Shipping,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,Builders Association,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
entity.organization,,nan,PTA,,,,,,,,,,,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
